Date,Open,High,Low,Close
2018-03-08 14:00:00-05:00,346.29,347.22,343.95,345.45
2018-03-08 13:00:00-05:00,347.53,347.6364,345.55,346.16
2018-03-08 12:00:00-05:00,347.4723,349.63,347.075,347.6208
2018-03-08 11:00:00-05:00,348.79,349.81,346.87,347.4013
2018-03-08 10:00:00-05:00,348.47,352.5,348.47,348.97
2018-03-08 09:00:00-05:00,349,349.5,348,348
2018-03-08 08:00:00-05:00,347.25,349.27,347.25,349
2018-03-07 20:00:00-05:00,347,347,346.85,346.85
2018-03-07 19:00:00-05:00,347.04,347.04,346.82,346.82
2018-03-07 18:00:00-05:00,347,347.04,346.98,347.04
2018-03-07 17:00:00-05:00,347.04,362.21,346.5,346.61
2018-03-07 16:00:00-05:00,345.11,348,345.06,347.06
2018-03-07 15:00:00-05:00,344.93,346.1,344.1,345.07
2018-03-07 14:00:00-05:00,343.7,345.44,342.12,345.0478
2018-03-07 13:00:00-05:00,342.7753,344.1399,342.33,343.7042
2018-03-07 12:00:00-05:00,347.33,347.59,342.738,342.796
2018-03-07 11:00:00-05:00,345.51,348.4093,343.79,347.4422
2018-03-07 10:00:00-05:00,341.86,347.61,339.5,345.6362
2018-03-07 09:00:00-05:00,343,344,341.75,341.75
2018-03-07 08:00:00-05:00,341.11,343.89,341.1,343.89
2018-03-07 07:00:00-05:00,341.15,342.26,341.15,342.26
2018-03-07 06:00:00-05:00,343.49,343.49,343.49,343.49
2018-03-06 20:00:00-05:00,341.5,341.5,339,339.01
2018-03-06 19:00:00-05:00,341.5,342.8,340.01,340.56
2018-03-06 18:00:00-05:00,349.95,349.95,336.95,341.58
2018-03-06 17:00:00-05:00,348.92,349.51,348.4,349.5
2018-03-06 16:00:00-05:00,350.77,350.9,348.51,349.06
2018-03-06 15:00:00-05:00,350.41,352.07,349.11,350.81
2018-03-06 14:00:00-05:00,351.6019,353.3995,349.5,350.3
2018-03-06 13:00:00-05:00,347.5518,351.63,346.74,351.55
2018-03-06 12:00:00-05:00,348.34,348.75,346.0219,347.565
2018-03-06 11:00:00-05:00,352.4165,353.1612,347.99,348.5084
2018-03-06 10:00:00-05:00,354.52,355.21,349.17,352.45
2018-03-06 09:00:00-05:00,355,355.75,354.62,354.9
2018-03-06 08:00:00-05:00,354.06,355.79,353.4,355
2018-03-06 07:00:00-05:00,355.85,356,355.85,356
2018-03-05 20:00:00-05:00,352.75,352.75,352.5,352.7
2018-03-05 19:00:00-05:00,352.6,352.75,352.58,352.75
2018-03-05 18:00:00-05:00,351.51,352.75,351.51,352.02
2018-03-05 17:00:00-05:00,353.57,353.58,347.2443,352.47
2018-03-05 16:00:00-05:00,351.5452,354.77,351.5452,353.57
2018-03-05 15:00:00-05:00,349.17,352.27,349,351.6
2018-03-05 14:00:00-05:00,344.9578,349.36,344.9,349.19
2018-03-05 13:00:00-05:00,343.58,345.19,342.58,345.03
2018-03-05 12:00:00-05:00,340.5971,345.1,340.3,343.6513
2018-03-05 11:00:00-05:00,338.45,340.72,336.95,340.6052
2018-03-05 10:00:00-05:00,340,342.33,336.31,338.43
2018-03-05 09:00:00-05:00,341.74,342.76,340,340.5
2018-03-05 08:00:00-05:00,342.54,343.47,340.99,342
2018-03-02 20:00:00-05:00,342.3,343,342.3,343
2018-03-02 19:00:00-05:00,342.51,343.33,342,342.06
2018-03-02 18:00:00-05:00,344.85,344.85,337.7468,343.1
2018-03-02 17:00:00-05:00,344.28,345.22,344.28,344.85
2018-03-02 16:00:00-05:00,342.83,346.0299,341.29,344.7
2018-03-02 15:00:00-05:00,344.08,346.09,342.83,342.83
2018-03-02 14:00:00-05:00,345.51,345.86,339.33,344.11
2018-03-02 13:00:00-05:00,342.62,345.8677,341.88,345.55
2018-03-02 12:00:00-05:00,339.88,342.85,337.41,342.84
2018-03-02 11:00:00-05:00,338.25,340.99,335.8192,339.89
2018-03-02 10:00:00-05:00,345.1,345.5,335.3,338.22
2018-03-02 09:00:00-05:00,344.1,347.3,343.26,345
2018-03-02 08:00:00-05:00,347,347,344.03,344.03
2018-03-02 07:00:00-05:00,345.2,345.9,343.61,345.9
2018-03-02 06:00:00-05:00,348.3,348.3,347.4,347.52
2018-03-01 20:00:00-05:00,350.41,351,350.25,351
2018-03-01 19:00:00-05:00,351,351.05,350.5,350.5
2018-03-01 18:00:00-05:00,351.4,351.5,350.2,351.49
2018-03-01 17:00:00-05:00,350.24,352.6937,349.69,351.4
2018-03-01 16:00:00-05:00,350.24,353.55,349.15,349.87
2018-03-01 15:00:00-05:00,349.42,351.0506,346.4,350.14
2018-03-01 14:00:00-05:00,356.45,356.4533,349.41,349.425
